DAY,MONTH,YEAR,Credit_cardno,CUST_SSN,BRANCH_CODE,TRANSACTION_TYPE,TRANSACTION_VALUE 
01,03,2025,1234567812345678,123456789,101,Purchase,500.75 
02,03,2025,8765432187654321,987654321,102,Withdrawal,200.00 
03,03,2025,1111222233334444,112233445,103,Deposit,1000.50 
04,03,2025,4444333322221111,223344556,104,Payment,300.25 
05,03,2025,5555666677778888,334455667,105,Purchase,150.00 
06,03,2025,6666777788889999,445566778,106,Withdrawal,250.00 
07,03,2025,7777888899990000,556677889,107,Deposit,1200.00 
08,03,2025,8888999900001111,667788990,108,Payment,400.00 
09,03,2025,9999000011112222,778899001,109,Purchase,175.50 
10,03,2025,0000111122223333,889900112,110,Withdrawal,300.75 
11,03,2025,1234432112344321,991122334,111,Purchase,250.50   
12,03,2025,2345543223455432,881233445,112,Withdrawal,300.00   
13,03,2025,3456654334566543,771344556,113,Deposit,1200.75   
14,03,2025,4567765445677654,661455667,114,Payment,400.25   
15,03,2025,5678876556788765,551566778,115,Purchase,175.00   
16,03,2025,6789987667899876,441677889,116,Withdrawal,500.00   
17,03,2025,7891098778910987,331788990,117,Deposit,1100.50   
18,03,2025,8902109889021098,221899001,118,Payment,350.25   
19,03,2025,9013210990132109,112900112,119,Purchase,220.75   
20,03,2025,0124321001243210,102011223,120,Withdrawal,275.00   
21,03,2025,1235432112354321,921122334,121,Purchase,400.50   
22,03,2025,2346543223465432,831233445,122,Payment,500.00   
23,03,2025,3457654334576543,741344556,123,Deposit,1350.75   
24,03,2025,4568765445687654,651455667,124,Withdrawal,600.00   
25,03,2025,5679876556798765,561566778,125,Purchase,300.25   
26,03,2025,1111222233334444,101223344,126,Purchase,200.50   
27,03,2025,2222333344445555,202334455,127,Withdrawal,450.75   
28,03,2025,3333444455556666,303445566,128,Deposit,1300.00   
29,03,2025,4444555566667777,404556677,129, Payment,500.25   
30,03,2025,5555666677778888,505667788,130,Purchase,325.00   
31,03,2025,6666777788889999,606778899,131,Withdrawal,600.00   
32,03,2025,7777888899990000,707889900,132,Deposit,1400.75   
33,03,2025,8888999900001111,808900111,133,Payment,450.50   
34,03,2025,9999000011112222, 909011222,134,Purchase,250.00   
35,03,2025,0000111122223333,110122333,135,Withdrawal,700.75   
36,03,2025,1111222233334445,111233444,136,Deposit,800.00   
37,03,2025,2222333344445556,212344555,137,Purchase,300.50   
38,03,2025,3333444455556667,313455666,138,Payment,420.00   
39,03,2025,4444555566667778,414566777,139,Withdrawal,500.00   
40,03,2025,5555666677778889,515677888,140,Purchase,275.25   
41,03,2025,6666777788889990,616788999,141,Deposit,1500.00   
42,03,2025,7777888899990001,717899000,142,Payment,650.75   
43,03,2025,8888999900001112,818900111,143,Purchase,350.50   
44,03,2025,9999000011112223,919011222,144,Withdrawal,550.00   
45,03,2025,0000111122223334,120122333,145,Deposit,900.75   
46,03,2025,1111222233334446,121233444,146,Purchase,400.00   
47,03,2025,2222333344445557,222344555,147,Payment,475.25   
48,03,2025,3333444455556668,323455666,148,Withdrawal,620.50   
49,03,2025,4444555566667779,424566777,149,Purchase,280.75   
50,03,2025,5555666677778890,525677888,150,Deposit,1100.00
